#format table ## [Custom WaveView] saved 20:37:00 Tue Aug 04 2026
TIME ,v(clk) ,v(out_n) ,v(out_p) 
 3.22710E-009 , 1.62830E+000 , 1.97950E+000 , 1.98940E+000 
 3.23000E-009 , 1.80000E+000 , 1.98480E+000 , 1.99400E+000 
 3.23110E-009 , 1.80000E+000 , 1.98230E+000 , 1.99140E+000 
 3.23170E-009 , 1.80000E+000 , 1.98100E+000 , 1.98990E+000 
 3.23370E-009 , 1.80000E+000 , 1.97630E+000 , 1.98480E+000 
 3.23950E-009 , 1.80000E+000 , 1.96180E+000 , 1.96890E+000 
 3.24670E-009 , 1.80000E+000 , 1.93600E+000 , 1.94110E+000 
 3.25650E-009 , 1.80000E+000 , 1.84030E+000 , 1.86600E+000 
 3.26750E-009 , 1.80000E+000 , 1.67260E+000 , 1.75260E+000 
 3.28080E-009 , 1.80000E+000 , 1.44140E+000 , 1.58650E+000 
 3.29420E-009 , 1.80000E+000 , 1.22140E+000 , 1.42120E+000 
 3.31030E-009 , 1.80000E+000 , 1.00300E+000 , 1.28980E+000 
 3.32560E-009 , 1.80000E+000 , 8.10540E-001 , 1.27820E+000 
 3.34300E-009 , 1.80000E+000 , 6.04450E-001 , 1.39740E+000 
 3.37620E-009 , 1.80000E+000 , 3.30520E-001 , 1.62650E+000 
 3.38800E-009 , 1.80000E+000 , 2.56230E-001 , 1.67840E+000 
 3.40000E-009 , 1.80000E+000 , 1.88070E-001 , 1.71370E+000 
 3.40300E-009 , 1.62280E+000 , 1.63990E-001 , 1.71250E+000 
 3.40420E-009 , 1.55100E+000 , 1.54290E-001 , 1.71200E+000 
 3.40800E-009 , 1.32100E+000 , 1.24470E-001 , 1.71140E+000 
 3.42020E-009 , 5.85170E-001 , 1.05120E-001 , 1.72180E+000 
 3.43000E-009 , 4.35207E-014 , 2.23540E-001 , 1.76600E+000 
 3.43150E-009 ,-6.31089E-030 , 2.59990E-001 , 1.78270E+000 
